"id","type","name","profile"
"41","class","Classdiagram (517).xmi","{""PCOA"":0,""PASC"":0,""POD"":0,""PADV"":0,""PRI"":0,""POG"":1,""POI"":0,""PDA"":0,""PSO"":0,""POP"":0,""POQ"":0,""PABC"":0,""PEN"":0,""PSHA"":0,""PNAA"":1,""PGS"":0,""PTC"":0,""PSA"":0,""PAO"":0}"
"42","class","JavaGraticule3D-CT_Point.uml","{""PCOA"":0,""PASC"":0,""POD"":1,""PADV"":0,""PRI"":0,""POG"":0,""POI"":0,""PDA"":0,""PSO"":0,""POP"":0,""POQ"":0,""PABC"":1,""PEN"":0,""PSHA"":0,""PNAA"":0,""PGS"":0,""PTC"":0,""PSA"":0,""PAO"":1}"
"43","class","Classdiagram (501).xmi","{""PCOA"":0,""PASC"":0,""POD"":1,""PADV"":0,""PRI"":0,""POG"":1,""POI"":0,""PDA"":0,""PSO"":0,""POP"":0,""POQ"":0,""PABC"":0,""PEN"":0,""PSHA"":1,""PNAA"":1,""PGS"":0,""PTC"":0,""PSA"":0,""PAO"":0}"
"44","class","Classdiagram (141).xmi","{""PCOA"":1,""PASC"":1,""POD"":0,""PADV"":0,""PRI"":0,""POG"":1,""POI"":0,""PDA"":0,""PSO"":0,""POP"":0,""POQ"":0,""PABC"":0,""PEN"":0,""PSHA"":0,""PNAA"":1,""PGS"":0,""PTC"":0,""PSA"":0,""PAO"":0}"
"45","class","GenMyModel_AngryPigs-diag.uml","{""PCOA"":0,""PASC"":0,""POD"":0,""PADV"":0,""PRI"":1,""POG"":0,""POI"":1,""PDA"":0,""PSO"":0,""POP"":0,""POQ"":0,""PABC"":1,""PEN"":0,""PSHA"":0,""PNAA"":0,""PGS"":0,""PTC"":0,""PSA"":0,""PAO"":0}"
"46","class","Classdiagram (80).xmi","{""PCOA"":1,""PASC"":0,""POD"":1,""PADV"":0,""PRI"":0,""POG"":1,""POI"":0,""PDA"":0,""PSO"":0,""POP"":0,""POQ"":0,""PABC"":0,""PEN"":0,""PSHA"":1,""PNAA"":1,""PGS"":0,""PTC"":0,""PSA"":0,""PAO"":0}"
"47","class","Classdiagram (622).xmi","{""PCOA"":0,""PASC"":0,""POD"":0,""PADV"":0,""PRI"":0,""POG"":1,""POI"":0,""PDA"":0,""PSO"":0,""POP"":0,""POQ"":0,""PABC"":0,""PEN"":0,""PSHA"":0,""PNAA"":1,""PGS"":0,""PTC"":0,""PSA"":0,""PAO"":0}"
"48","class","Classdiagram (467).xmi","{""PCOA"":0,""PASC"":0,""POD"":1,""PADV"":0,""PRI"":0,""POG"":1,""POI"":1,""PDA"":0,""PSO"":0,""POP"":0,""POQ"":0,""PABC"":1,""PEN"":0,""PSHA"":1,""PNAA"":1,""PGS"":0,""PTC"":0,""PSA"":0,""PAO"":0}"
"49","class","Classdiagram (319).xmi","{""PCOA"":0,""PASC"":0,""POD"":1,""PADV"":1,""PRI"":0,""POG"":1,""POI"":1,""PDA"":0,""PSO"":0,""POP"":0,""POQ"":0,""PABC"":0,""PEN"":0,""PSHA"":0,""PNAA"":1,""PGS"":0,""PTC"":0,""PSA"":0,""PAO"":0}"
"50","class","Classdiagram (230).xmi","{""PCOA"":0,""PASC"":0,""POD"":0,""PADV"":0,""PRI"":0,""POG"":1,""POI"":0,""PDA"":0,""PSO"":0,""POP"":0,""POQ"":0,""PABC"":0,""PEN"":0,""PSHA"":0,""PNAA"":0,""PGS"":0,""PTC"":0,""PSA"":0,""PAO"":0}"
